	#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
2999	S03000	03000	1967-100A	P           	OSO 4	OSO D	1967-10-18	S03004	1967 Oct 18 1610	Earth	1982 Jun 15	R	-	GSFC	US	BALL	OSO	-	     285 	 	    285 	 	     285 	 	   1.0 	 	  1.1 	 	    2.3 	 	Oct Cyl + Sail + 3 Ant	1967 Nov 17	     539	 	     572	 	 32.99 	 	LLEO/I	-	-
3028	S03029	03029	1967-111A	P           	ATS 3	ATS C	1967-11-05	S03030	1967 Nov  6 0006	Earth	-	O	-	GSFC	US	HSES	HS-306	JPL SR-28-3	     311 	 	    252 	 	     714 	 	   1.6 	 	  1.5 	 	    3.2 	 	Cyl	1967 Dec  6	   35776	 	   36148	 	  0.47 	 	GEO/D	-	-
3030	S03031	03031	1967-112A	P   D       	Surveyor 6	Surveyor SC-6	1967-11-07	S03034	1967 Nov  7 0804	Earth	1967 Nov  9	DSO	D00182	JPL	US	JPL	Surveyor	TE-364-1 A2	     369 	 	    289 	 	    1007 	 	   2.9 	 	  2.2 	 	    4.3 	 	Truss + 3 Leg	1967 Nov  7	     169	 	  686276	 	 29.01 	 	CLO	-	-
3065	S03066	03066	1967-123A	P   D       	Pioneer 8	Pioneer C	1967-12-13	A01292	1967 Dec 13 1440	Earth	1968 Jan 16?	DSO	D00188	ARC	US	TRW	Solar Pioneer	-	      65 	 	     65 	 	      65 	 	   0.9 	 	  0.9 	 	    3.3 	 	Cyl + 3 Ant	1967 Dec 13	     485	 	-4788696	 	 32.89 	 	EEO	-	-
3066	S03067	03067	1967-123B	P           	TTS 1	TTS A	1967-12-13	S03068	1967 Dec 13 1439	Earth	1968 Apr 28	R	-	GSFC	US	TRW	ORS	-	      18 	 	     18 	 	      18 	 	   0.3 	 	  0.3 	 	    1.0 	?	Oct Cyl + 2 Ant	1968 Jan 13	     289	 	     460	 	 32.91 	 	LLEO/I	-	-
3090	S03091	03091	1968-001A	P   D       	Surveyor 7	Surveyor SC-7	1968-01-07	S03092	1968 Jan  7 0705	Earth	1968 Jan  9	DSO	D00190	JPL	US	JPL	Surveyor	TE-364-5 A2	     378 	 	    305 	 	    1038 	 	   2.9 	 	  2.2 	 	    4.3 	 	Truss + 3 Leg	1968 Jan  7	     166	 	  729739	 	 30.68 	 	CLO	-	-
3092	S03093	03093	1968-002A	P           	Geos 2	Geos B	1968-01-11	S03094	1968 Jan 11 1627?	Earth	-	O	-	GSFC	US	APL	ANNA	-	     212 	 	    212 	 	     212 	 	   1.1 	 	  1.2 	 	    8.9 	 	Oct Cyl + Dome + Ant	1968 Feb 17	    1084	 	    1573	 	105.79 	 	LEO/R	-	Explorer 36
3137	S03138	03138	1968-014A	P   D       	OGO 5	OGO E	1968-03-04	S03145	1968 Mar  4 1402	Earth	1968 Mar  5 1637?	DSO	D00196	GSFC	US	TRW	OGO	-	     611 	 	    611 	 	     611 	 	   1.7 	 	  0.8 	 	   18.0 	 	Box + 2 Pan + 2 Ant	1968 Mar  4	     271	 	  148186	 	 31.13 	 	DSO	-	-
3306	S03307	03307	1968-055A	P           	RAE 1	RAE A	1968-07-04	S03315	1968 Jul  4 1740	Earth	-	O	-	GSFC	US	GSFC/FAIRH	RAE	-	     189 	 	    189 	 	     189 	 	   0.8 	 	  0.9 	 	  228.0 	 	Cyl + 4 Ant	1968 Aug  8	    5840	 	    5862	 	120.84 	 	MEO	-	Explorer 38
3343	S03344	03344	1968-068A	P A         	ATS 4	ATS D	1968-08-10	A01402	1968 Aug 10 2344	Earth	1968 Oct 17	AR	-	GSFC	US	HSES	HS-306	SR-28-3	     367 	 	    367 	 	    2548 	?	   1.8 	 	  1.4 	 	   20.0 	 	Cyl + 2 Ant	1968 Sep  9	     212	 	     659	 	 29.05 	 	LLEO/I	-	-
3532	S03533	03533	1968-100A	P   D       	Pioneer 9	Pioneer D	1968-11-08	A01466	1968 Nov  8 1008	Earth	1968 Nov 10?	DSO	D00206	ARC	US	TRW	Solar Pioneer	-	      67 	 	     67 	 	      67 	 	   0.9 	 	  0.9 	 	    3.3 	 	Cyl + 3 Ant	1968 Nov  8	     456	 	 -163279	 	 34.67 	 	EEO	-	-
3533	S03534	03534	1968-100B	P           	TETR 2	TETR B	1968-11-08	S03547	1968 Nov  8 1007	Earth	1979 Sep 19	R	-	GSFC	US	TRW	ORS	-	      18 	 	     18 	 	      18 	 	   0.3 	 	  0.3 	 	    1.0 	?	Oct Cyl + 2 Ant	1968 Dec 10	     379	 	     934	 	 32.87 	 	LEO/I	-	-
3596	S03597	03597	1968-110A	P           	OAO 2	OAO A2	1968-12-07	S03598	1968 Dec  7 0852	Earth	-	O	-	GSFC	US	GRUM	OAO	-	    2018 	 	   2018 	 	    2018 	 	   3.0 	 	  2.1 	 	    6.4 	 	Oct Cyl + 2 Pan	1969 Jan  6	     768	 	     778	 	 35.00 	 	LEO/I	-	-
3662	S03663	03663	1969-006A	P           	OSO 5	OSO F	1969-01-22	S03664	1969 Jan 22 1706	Earth	1984 Apr  2	R	-	GSFC	US	BALL	OSO	-	     293 	 	    293 	 	     293 	 	   1.0 	 	  1.1 	 	    2.3 	 	Oct Cyl + Sail + 3 Ant	1969 Mar  9	     539	 	     563	 	 32.98 	 	LLEO/I	-	-
3758	S03759	03759	1969-014A	P   D       	Mariner 6	Mariner 69-3	1969-02-25	S03760	1969 Feb 25 0142	Earth	1969 Mar  6?	DSO	D00236	JPL	US	JPL	Mariner	MRE-50	     385 	 	    375 	 	     385 	 	   0.5 	 	  1.4 	 	    5.8 	 	Hex Cyl + 4 Pan	1969 Feb 25	      90	 	     Inf	 	 43.63 	 	EEO	-	-
3836	S03837	03837	1969-030A	P   D       	Mariner 7	Mariner 69-2	1969-03-27	S03845	1969 Mar 27 2235	Earth	1969 Apr  1?	DSO	D00240	JPL	US	JPL	Mariner	MRE-50	     383 	 	    373 	 	     383 	 	   0.5 	 	  1.4 	 	    5.8 	 	Hex Cyl + 4 Pan	1969 Mar 27	     506	 	  -60540	 	 31.01 	 	EEO	-	-
3889	S03890	03890	1969-037A	P           	Nimbus 3	Nimbus B2	1969-04-14	S03892	1969 Apr 14 0852	Earth	-	O	-	GSFC	US	GEVF	Nimbus	-	     576 	 	    576 	 	     576 	 	   3.0 	 	  3.3 	 	    3.6 	 	Cone + 2 Pan	1969 Jun  2	    1073	 	    1134	 	 99.92 	 	LEO/S	-	-
3985	S03986	03986	1969-051A	P           	OGO 6	OGO F	1969-06-05	S03987	1969 Jun  5 1453	Earth	1979 Oct 12	R	-	GSFC	US	TRW	OGO	-	     620 	 	    620 	 	     620 	 	   1.7 	 	  0.8 	 	   18.0 	 	Box + 2 Pan + 2 Ant	1969 Jul  9	     396	 	    1085	 	 82.00 	 	LEO/I	-	-
3989	S03990	03990	1969-053A	P   D       	IMP 5	IMP G	1969-06-21	S03993	1969 Jun 21 0907	Earth	1969 Jun 22 0508	DSO	D00254	GSFC	US	GSFC	IMP	-	      79 	 	     79 	 	      79 	 	   0.3 	 	  0.7 	 	    4.0 	?	Oct Cyl + 4 Pan + 2 Ant	1969 Jul 25	     640	 	  176219	 	 87.13 	 	DSO	-	Explorer 41
3999	S04000	04000	1969-056A	P           	Biosatellite 3	Biosatellite D Adapter	1969-06-29	S04001	1969 Jun 29 0326?	Earth	1970 Jan 20	R	-	ARC	US	GERSD	Bios	-	     438 	 	    438 	 	     697 	 	   2.1 	 	  1.4 	 	    2.1 	 	Cyl + Frust	1969 Aug  2	     352	 	     388	 	 33.55 	 	LLEO/I	-	Biosatellite S/N 501
4064	S04065	04065	1969-068A	P           	OSO 6	OSO G	1969-08-09	A01648	1969 Aug  9 0802	Earth	1981 Mar  7	R	-	GSFC	US	BALL	OSO	-	     290 	 	    290 	 	     290 	 	   1.1 	 	  1.1 	 	    2.3 	 	Oct Cyl + Sail + 3 Ant	1969 Sep 14	     490	 	     556	 	 32.96 	 	LLEO/I	-	-
4065	S04066	04066	1969-068B	P A         	PAC	PAC	1969-08-09	A01648	1969 Aug  9 0802	Earth	1977 Apr 28	AR	-	GSFC	US	GSFC	Delta Attached	-	     118 	 	    118 	 	     118 	 	   0.6 	 	  1.5 	 	    2.1 	 	Cyl + Ant	1969 Sep 14	     486	 	     553	 	 32.96 	 	LLEO/I	-	-
4067	S04068	04068	1969-069A	P           	ATS 5	ATS E	1969-08-12	S04069	1969 Aug 12 1140	Earth	-	O	-	GSFC	US	HSES	HS-306	-	     453 	 	    431 	 	     845 	 	   1.8 	 	  1.4 	 	    1.8 	 	Cyl	1969 Oct  2	   35778	 	   35791	 	  2.55 	 	GEO/S	-	-
4326	S04327	04327	1970-009A	P A         	SERT 2	SERT 2	1970-02-04	A01744	1970 Feb  4 0308	Earth	-	AO	-	LERC	US	LERC	SERT	-	     591 	 	    591 	 	    1524 	 	   1.6 	 	  1.5 	 	   12.7 	 	Cyl + 2 Pan	1970 Apr 10	    1020	 	    1032	 	 99.12 	 	LEO/S	-	-
4361	S04362	04362	1970-025A	P           	Nimbus 4	Nimbus D	1970-04-08	S04367	1970 Apr  8 0916	Earth	-	O	-	GSFC	US	GEVF	Nimbus	-	     619 	 	    619 	 	     619 	 	   3.0 	 	  3.3 	 	    3.6 	 	Cone + 2 Pan	1970 May 18	    1091	 	    1100	 	 99.88 	 	LEO/S	-	-
4793	S04794	04794	1970-106B	P A         	CEPE	CEP	1970-12-11	A01900	1970 Dec 11 1231?	Earth	-	AO	-	GSFC	US	GSFC	Delta Attached	-	       2 	 	      2 	 	       2 	 	   0.1 	 	  0.2 	 	    0.7 	 	Box + 2 Ant	1971 Feb  3	    1423	 	    1474	 	101.92 	 	LEO/S	-	-
4796	S04797	04797	1970-107A	P           	Uhuru	SAS A	1970-12-12	S04798	1970 Dec 12 1108	Earth	1979 Apr  5	R	-	GSFC	US	APL	SAS	-	     143 	 	    143 	 	     143 	 	   1.3 	?	  0.6 	 	    3.9 	 	Step Box + 4 Pan	1971 Jan 15	     534	 	     573	 	  3.03 	 	LLEO/E	-	Explorer 42
5042	S05043	05043	1971-019A	P   D       	IMP 6	IMP I	1971-03-13	S05045	1971 Mar 13 1711	Earth	1971 Mar 14 1121?	DSO	D00364	GSFC	US	GSFC	IMP	-	     288 	 	    276 	 	     288 	 	   1.8 	 	  1.4 	 	   92.0 	 	Hexadec Cyl + Ant	1971 Apr 19	    1569	 	  203825	 	 30.20 	 	DSO	-	Explorer 43
5260	S05261	05261	1971-051A	P   D       	Mariner 9	Mariner 71J	1971-05-30	S05267	1971 May 30 2236	Earth	1971 May 31?	DSO	D00382	JPL	US	JPL	Mariner	RS-21/MRE-50	    1031 	 	    555 	 	    1031 	 	   2.3 	 	  1.4 	 	    6.9 	 	Oct Cyl + Cone + 4 Pan	1971 May 30	     166	 	     Inf	 	 28.72 	 	EEO	-	-
5490	S05491	05491	1971-083A	P           	OSO 7	OSO H	1971-09-29	S05499	1971 Sep 29 1018	Earth	1974 Jul  9	R	-	GSFC	US	BALL	OSO	-	     642 	 	    642 	 	     642 	 	   1.9 	 	  1.4 	 	    2.0 	 	Oct Cyl + Sail	1971 Oct 31	     324	 	     569	 	 33.13 	 	LLEO/I	-	-
5491	S05492	05492	1971-083B	P           	TETR 3	TETR D	1971-09-29	S05499	1971 Sep 29 1036	Earth	1978 Sep 19	R	-	GSFC	US	TRW	ORS	-	      18 	 	     18 	 	      18 	 	   0.3 	 	  0.3 	 	    1.0 	?	Oct Cyl + 2 Ant	1971 Oct 30	     400	 	     571	 	 33.08 	 	LLEO/I	-	-
5597	S05598	05598	1971-096A	P           	SSS 1	SSS A	1971-11-15	S05973	1971 Nov 15 0605?	Earth	1987 May  3?	R	-	GSFC	US	GSFC	SSS	-	      52 	 	     52 	 	      52 	 	   0.7 	 	  0.7 	 	    5.2 	 	Oct Cone + Cyl + 2 Ant	1971 Dec 24	     234	 	   26780	 	  3.56 	 	HEO	-	Explorer 45
5859	S05860	05860	1972-012A	P   D       	Pioneer 10	Pioneer F	1972-03-03	S05861	1972 Mar  3 0204	Earth	1972 Mar  3 0616	DSO	D00431	ARC	US	TRW	Pioneer F	MRE-1	     270 	 	    243 	 	     270 	 	   2.9 	 	  2.7 	 	    8.0 	?	Box + Dish + 2 Ant	1972 Mar  3	     186	 	  -22379	 	 31.48 	 	EEO	-	-
6125	S06126	06126	1972-058A	P           	ERTS 1	ERTS A	1972-07-23	S06127	1972 Jul 23 1916	Earth	1975 Jan 14	N	-	GSFC	US	GEVF	Nimbus	-	     891 	 	    891 	 	     891 	 	   3.3 	 	  3.0 	 	    3.7 	 	Cone + 2 Pan	1972 Aug 23	     902	 	     917	 	 99.11 	 	LEO/S	-	-
6152	S06153	06153	1972-065A	P           	Copernicus	OAO-C	1972-08-21	S06155	1972 Aug 21 1040	Earth	-	O	-	GSFC	US	GRUM	OAO	-	    2177 	 	   2177 	 	    2177 	 	   4.9 	 	  2.0 	 	    5.0 	?	Oct Cyl + 2 Pan	1972 Sep 22	     735	 	     747	 	 35.01 	 	LEO/I	-	OAO-3
6196	S06197	06197	1972-073A	P   D       	IMP 7	IMP H	1972-09-23	S06203	1972 Sep 23 0138	Earth	1972 Sep 23 1815	DSO	D00983	GSFC	US	GSFC	IMP	Star 17A	     266 	 	    266 	 	     390 	 	   1.6 	 	  1.4 	 	    8.2 	 	Hexadec Cyl + 4 Pan + Ant	1972 Sep 25	  201100	 	  235600	 	 17.20 	 	DSO	-	Explorer 47
6281	S06282	06282	1972-091A	P           	SAS 2	SAS B	1972-11-15	S06800	1972 Nov 15 2232	Earth	1976 Aug 20?	R	-	GSFC	US	APL	SAS	-	     174 	 	    174 	 	     174 	 	   1.3 	 	  0.6 	 	    4.0 	 	Step Unk + Box + 4 Pan	1972 Nov 15	     444	 	     632	 	  1.90 	 	LLEO/E	-	Explorer 48
6304	S06305	06305	1972-097A	P           	Nimbus 5	Nimbus E	1972-12-11	S06306	1972 Dec 11 0857	Earth	-	O	-	GSFC	US	GEVF	Nimbus	-	     715 	 	    715 	 	     715 	 	   3.0 	 	  3.3 	 	    3.6 	 	Cone + 2 Pan	1973 Jan 10	    1091	 	    1105	 	 99.95 	 	LEO/S	-	-
6420	S06421	06421	1973-019A	P   D       	Pioneer 11	Pioneer G	1973-04-06	S06425	1973 Apr  6 0226	Earth	1973 Apr  6 0634	DSO	D00489	ARC	US	TRW	Pioneer F	MRE-1	     270 	 	    243 	 	     270 	 	   2.9 	 	  2.7 	 	    8.0 	?	Box + Dish + 2 Ant	1973 Apr  6	     229	 	  -22043	 	 34.90 	 	EEO	-	-
6632	S06633	06633	1973-027A	PP H        	Skylab Orbital Workshop	Skylab I OWS	1973-05-14	S06634	1973 May 14 1739	Earth	1979 Jul 11 1637	R	31S 124E	MSFC	US	MDAC	S-IVB OWS	-	   33956 	 	  32697 	 	   75687 	 	  36.1 	 	  6.6 	 	   36.1 	 	Cyl + Pan	1974 Jan  9	     421	 	     444	 	 50.04 	 	LLEO/I	-	-
